id;name;x;y;sprite;meta:longitude:float;meta:latitude:float;meta:population:int;filter:region;filter:district
C114;Domažlice;233.307124;383.339873;Graphics/Icons/City.png;12.929798039;49.44060568;10749;0;1
C115;Humpolec;908.854338;426.889647;Graphics/Icons/City.png;15.359357331;49.541577778;10741;0;0
C116;Rychnov nad Kněžnou;1163.439312;694.856444;Graphics/Icons/City.png;16.274954757;50.162870787;10717;0;1
C117;Rumburk;685.786781;1035.029125;Graphics/Icons/City.png;14.557110137;50.951576367;10679;0;0
C118;Sušice;397.472577;293.005531;Graphics/Icons/City.png;13.520207848;49.231161465;10662;0;0
C119;Jeseník;1421.962249;723.542135;Graphics/Icons/City.png;17.204714793;50.229379845;10658;0;1
C120;Prachatice;530.194458;198.91716;Graphics/Icons/City.png;13.997533003;49.013013368;10588;0;1
C121;Veselí nad Moravou;1469.72281;173.310402;Graphics/Icons/City.png;17.376482379;48.953642955;10577;0;0
C122;Frenštát pod Radhoštěm;1701.71033;429.803876;Graphics/Icons/City.png;18.210809609;49.54833455;10569;0;0
C123;Čáslav;917.312648;586.24272;Graphics/Icons/City.png;15.389777063;49.911045008;10128;0;0
C124;Litomyšl;1173.344049;569.43018;Graphics/Icons/City.png;16.310576465;49.872064383;9914;0;0
C125;Nové Město na Moravě;1107.624482;435.474385;Graphics/Icons/City.png;16.074220542;49.561481877;9829;0;0
C126;Frýdlant nad Ostravicí;1743.108875;448.976727;Graphics/Icons/City.png;18.359696643;49.592787662;9796;0;0
C127;Ivančice;1191.960484;237.072336;Graphics/Icons/City.png;16.377529198;49.101477851;9737;0;0
C128;Lysá nad Labem;762.467952;711.516027;Graphics/Icons/City.png;14.832888718;50.201496776;9732;0;0
C129;Moravská Třebová;1271.699189;520.213744;Graphics/Icons/City.png;16.664303989;49.757953873;9656;0;0
C130;Litovel;1386.225673;495.746374;Graphics/Icons/City.png;17.076190647;49.701225181;9567;0;0
C131;Hlinsko;1061.296654;522.033466;Graphics/Icons/City.png;15.907605681;49.762172981;9416;0;0
C132;Lanškroun;1257.143239;586.737536;Graphics/Icons/City.png;16.61195451;49.912192261;9326;0;0
C133;Přelouč;964.747509;641.817292;Graphics/Icons/City.png;15.560373291;50.039897141;9315;0;0
C134;Tišnov;1204.994434;343.721768;Graphics/Icons/City.png;16.424404904;49.34874933;9164;0;0
C135;Nové Město nad Metují;1129.125428;773.236684;Graphics/Icons/City.png;16.151547223;50.34459888;9132;0;0
C136;Mohelnice;1342.659668;528.42912;Graphics/Icons/City.png;16.919508491;49.77700159;9103;0;0
C137;Chotěboř;995.293277;504.174289;Graphics/Icons/City.png;15.670229057;49.72076568;8995;0;0
C138;Nová Paka;952.165682;837.908179;Graphics/Icons/City.png;15.515123613;50.494542634;8857;0;0
C139;Mnichovo Hradiště;800.989939;852.021942;Graphics/Icons/City.png;14.971430407;50.527266026;8711;0;0
C140;Polička;1160.804511;501.549242;Graphics/Icons/City.png;16.265478874;49.71467939;8710;0;0
C141;Dobříš;577.376746;530.246805;Graphics/Icons/City.png;14.167220871;49.781215974;8707;0;0
C142;Lovosice;545.096321;846.783946;Graphics/Icons/City.png;14.051126534;50.515121498;8605;0;0
C143;Hořice;984.640821;782.526071;Graphics/Icons/City.png;15.631918228;50.36613674;8274;0;0
C144;Semily;902.254037;884.236948;Graphics/Icons/City.png;15.335619799;50.601957959;8120;0;1
C145;Třeboň;745.164807;194.90434;Graphics/Icons/City.png;14.770659141;49.003709466;8092;0;0
C146;Milevsko;630.990809;387.810945;Graphics/Icons/City.png;14.360040178;49.45097206;8033;0;0
C147;Bystřice pod Hostýnem;1552.458456;365.498208;Graphics/Icons/City.png;17.674035465;49.399238981;7984;0;0
C148;Rýmařov;1440.621542;595.211056;Graphics/Icons/City.png;17.271821662;49.931838496;7969;0;0
C149;Bystřice nad Pernštejnem;1159.698507;418.868585;Graphics/Icons/City.png;16.261501207;49.522980589;7835;0;0
C150;Lipník nad Bečvou;1528.073973;420.839067;Graphics/Icons/City.png;17.586338342;49.527549239;7826;0;0
C151;Týn nad Vltavou;647.826892;289.690579;Graphics/Icons/City.png;14.420589996;49.223475602;7804;0;0
C152;Šlapanice;1289.222633;266.045686;Graphics/Icons/City.png;16.727325855;49.168653859;7640;0;0
C153;Stříbro;253.979898;518.097985;Graphics/Icons/City.png;13.004146255;49.753048391;7430;0;0
C154;Mikulov;1264.326657;109.453123;Graphics/Icons/City.png;16.637789181;48.805586996;7427;0;0
C155;Frýdlant;831.138802;1022.036258;Graphics/Icons/City.png;15.079858729;50.921451823;7380;0;0
C156;Bílovec;1647.502079;519.535093;Graphics/Icons/City.png;18.015853348;49.75638039;7341;0;0
C157;Černošice;619.818155;607.425665;Graphics/Icons/City.png;14.319858494;49.960158615;7329;0;0
